Algorithm,Mean Energy,Std Energy,Min Energy,Max Energy,Mean Cut,Std Cut,Min Cut,Max Cut,Mean Time (ms),Mean Accuracy (%),Max Accuracy (%)
Probit,-4293.34,255.08822865824288,-4876.0,-3612.0,12141.67,127.54411432912144,11801.0,12433.0,1498.8531269977102,90.88756643461338,93.06834343888015
Traditional SA,-2183.46,120.43316984950616,-2414.0,-1828.0,11086.73,60.21658492475308,10909.0,11202.0,35.24260299804155,82.9907178681039,83.85358185492926
