Algorithm,Mean Energy,Std Energy,Min Energy,Max Energy,Mean Cut,Std Cut,Min Cut,Max Cut,Mean Time (ms),Mean Accuracy (%),Max Accuracy (%)
Probit,-3404.12,97.18181722935623,-3640.0,-3160.0,11290.06,48.59090861467811,11168.0,11408.0,546.4553360006539,97.12715072264281,98.1417756366139
Traditional SA,-2260.36,103.38254398108029,-2484.0,-2010.0,10718.18,51.691271990540145,10593.0,10830.0,20.610467997030355,92.2073296627667,93.16930488644185
