Gset,number of edges,edge value,edge type,best-known value,mean_cut_value,max_cut_value,min_cut_value,std_cut,n_rnd,I0_min,I0_max,ratio of mean/best,ratio of max/best,1 annealing_time [ms],Total time [s],mean_range,stall_prop,l_scale,d_scale,n_scale
G1,800,unipolar,random,11624,9345.5,9780,8568,417.3861122110637,4.656917354244709,0.01448361,1.448361,80.39831383344804,84.13626978664831,60.12906837463379,0.9607055187225342,4,0.5,0.2,0.2,0.2
G1,800,unipolar,random,11624,9681.8,10207,9016,400.33452678145727,4.656917354244709,0.01448361,1.448361,83.29146593255332,87.80970406056434,110.62694282531739,1.5821757316589355,4,0.5,0.2,0.2,0.2
