Gset,number of edges,edge value,edge type,best-known value,mean_cut_value,max_cut_value,min_cut_value,std_cut,n_rnd,I0_min,I0_max,ratio of mean/best,ratio of max/best,1 annealing_time [ms],Total time [s],mean_range,stall_prop,l_scale,d_scale,n_scale
G1,800,unipolar,random,11624,3184.6,3543,2656,293.90255376758995,4.656917354244709,27.048052,43.32672,27.396765313145217,30.48004129387474,60.72080955505371,1.679579496383667,4,0.1,0.1,0.1,0.1
G1,800,unipolar,random,11624,6940.2,7311,6615,242.20551420459262,4.656917354244709,27.048052,43.32672,59.70578114246387,62.89573296627667,60.1441535949707,0.9278149604797363,4,0.3,0.1,0.1,0.1
G1,800,unipolar,random,11624,8571.2,8811,8246,151.49536113176683,4.656917354244709,27.048052,43.32672,73.73709566414317,75.80006882312458,68.27211265563965,1.0263352394104004,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,11423.5,11467,11376,27.977173235018263,4.656917354244709,27.048052,43.32672,98.275120440468,98.64934618031658,64.23149147033692,0.9798054695129395,4,0.7,0.1,0.1,0.1
G1,800,unipolar,random,11624,11406.3,11439,11337,31.08429399766598,4.656917354244709,27.048052,43.32672,98.12715072264281,98.40846524432209,70.19642868041993,1.0300016403198242,4,0.9,0.1,0.1,0.1
G1,800,unipolar,random,11624,3054.3,3542,2682,249.24867100949606,4.656917354244709,27.048052,43.32672,26.275808671713694,30.47143840330351,63.47773780822754,0.966362476348877,4,0.1,0.1,0.1,0.2
G1,800,unipolar,random,11624,6766.9,7251,6393,304.6620896811562,4.656917354244709,27.048052,43.32672,58.21490020646937,62.37955953200275,60.65059852600098,0.9409379959106445,4,0.3,0.1,0.1,0.2
G1,800,unipolar,random,11624,8663.6,8925,8451,141.25957194706015,4.656917354244709,27.048052,43.32672,74.53200275292498,76.78079834824501,71.89019470214843,1.0923819541931152,4,0.5,0.1,0.1,0.2
G1,800,unipolar,random,11624,11424.2,11452,11375,26.69082239272518,4.656917354244709,27.048052,43.32672,98.28114246386787,98.5203028217481,69.63861808776855,1.0260214805603027,4,0.7,0.1,0.1,0.2
G1,800,unipolar,random,11624,11411.3,11492,11368,41.62544627722059,4.656917354244709,27.048052,43.32672,98.17016517549897,98.86441844459739,73.22683944702149,1.0668625831604004,4,0.9,0.1,0.1,0.2
G1,800,unipolar,random,11624,2981.1,3513,2248,428.7336521016801,4.656917354244709,27.048052,43.32672,25.646077081899517,30.221954576737783,65.4659423828125,0.9733262062072754,4,0.1,0.1,0.1,0.3
G1,800,unipolar,random,11624,6776.3,7023,6439,195.71126692145242,4.656917354244709,27.048052,43.32672,58.295767377838956,60.41810048176187,68.3584197998047,1.0111448764801025,4,0.3,0.1,0.1,0.3
G1,800,unipolar,random,11624,8518.6,8778,8313,157.3073424859755,4.656917354244709,27.048052,43.32672,73.28458362009636,75.51617343427391,61.709472274780275,0.947481632232666,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11427.3,11490,11382,33.446640754757084,4.656917354244709,27.048052,43.32672,98.30781142463867,98.84721266345493,61.93814468383789,0.9462323188781738,4,0.7,0.1,0.1,0.3
G1,800,unipolar,random,11624,11418.5,11464,11370,30.30309848477178,4.656917354244709,27.048052,43.32672,98.23210598761183,98.6235375086029,60.15975646972656,0.9254422187805176,4,0.9,0.1,0.1,0.3
G1,800,unipolar,random,11624,3389.3,3679,2929,231.68227765148066,4.656917354244709,27.048052,43.32672,29.157777013076394,31.650034411562284,65.4772762298584,0.9971458911895752,4,0.1,0.1,0.2,0.1
G1,800,unipolar,random,11624,6879.2,7193,6584,173.14656604545564,4.656917354244709,27.048052,43.32672,59.18100481761872,61.8805918788713,69.36852531433105,1.0226025581359863,4,0.3,0.1,0.2,0.1
G1,800,unipolar,random,11624,8727.7,8996,8390,191.511560428549,4.656917354244709,27.048052,43.32672,75.08344803854096,77.39160357880247,67.11962242126465,0.9978728294372559,4,0.5,0.1,0.2,0.1
G1,800,unipolar,random,11624,11401.4,11457,11337,39.48895766892028,4.656917354244709,27.048052,43.32672,98.08499655884377,98.56331727460427,62.0140926361084,0.9481699466705322,4,0.7,0.1,0.2,0.1
G1,800,unipolar,random,11624,11403.9,11452,11345,34.41075413297418,4.656917354244709,27.048052,43.32672,98.10650378527185,98.5203028217481,69.46873626708984,1.1080241203308105,4,0.9,0.1,0.2,0.1
G1,800,unipolar,random,11624,3296.5,3791,3008,231.16192016275807,4.656917354244709,27.048052,43.32672,28.35942876806607,32.61355815554026,61.22412109375,0.938650369644165,4,0.1,0.1,0.2,0.2
G1,800,unipolar,random,11624,6644.9,7187,6174,304.7481473829387,4.656917354244709,27.048052,43.32672,57.165347556779075,61.82897453544391,69.25576667785644,1.0272462368011475,4,0.3,0.1,0.2,0.2
G1,800,unipolar,random,11624,9250.1,11428,8507,1146.1343192565948,4.656917354244709,27.048052,43.32672,79.57759807295251,98.31383344803854,75.11756858825683,1.0851778984069824,4,0.5,0.1,0.2,0.2
G1,800,unipolar,random,11624,11401.1,11451,11351,31.388072752418413,4.656917354244709,27.048052,43.32672,98.0824156916724,98.51169993117688,65.99753952026367,0.9981086254119873,4,0.7,0.1,0.2,0.2
G1,800,unipolar,random,11624,11392.6,11497,11329,45.52215577789201,4.656917354244709,27.048052,43.32672,98.00929112181693,98.90743289745355,61.4678466796875,0.9415712356567383,4,0.9,0.1,0.2,0.2
G1,800,unipolar,random,11624,3100.0,3405,2824,232.84424932654971,4.656917354244709,27.048052,43.32672,26.668960770818995,29.292842395044737,64.53479080200195,0.9772453308105469,4,0.1,0.1,0.2,0.3
G1,800,unipolar,random,11624,6648.1,7057,6327,233.7503178845135,4.656917354244709,27.048052,43.32672,57.19287680660702,60.71059876118376,67.20153884887695,0.9983258247375488,4,0.3,0.1,0.2,0.3
G1,800,unipolar,random,11624,8926.8,11375,8367,874.2369116994419,4.656917354244709,27.048052,43.32672,76.79628355127322,97.85788024776325,65.41420440673828,0.9756722450256348,4,0.5,0.1,0.2,0.3
G1,800,unipolar,random,11624,11411.3,11469,11363,31.76318623815942,4.656917354244709,27.048052,43.32672,98.17016517549897,98.66655196145905,64.3411651611328,0.9781672954559326,4,0.7,0.1,0.2,0.3
G1,800,unipolar,random,11624,11392.2,11433,11352,28.177216959017716,4.656917354244709,27.048052,43.32672,98.00584996558844,98.3568479008947,64.68110389709473,0.9815151691436768,4,0.9,0.1,0.2,0.3
G1,800,unipolar,random,11624,2805.0,3201,2477,221.16660386836585,4.656917354244709,27.048052,43.32672,24.131108052305574,27.53785271851342,74.83823661804199,1.0794258117675781,4,0.1,0.1,0.3,0.1
G1,800,unipolar,random,11624,6682.5,7312,6317,299.64024725957256,4.656917354244709,27.048052,43.32672,57.4888162422574,62.9043358568479,59.86191329956055,0.9495911598205566,4,0.3,0.1,0.3,0.1
G1,800,unipolar,random,11624,8629.5,8794,8406,124.27769085577847,4.656917354244709,27.048052,43.32672,74.23864418444597,75.65381968341363,66.76683464050294,0.9929037094116211,4,0.5,0.1,0.3,0.1
G1,800,unipolar,random,11624,11382.2,11457,11330,37.9145237489687,4.656917354244709,27.048052,43.32672,97.91982105987611,98.56331727460427,65.50459175109863,0.9856472015380859,4,0.7,0.1,0.3,0.1
