Gset,number of edges,edge value,edge type,best-known value,mean_cut_value,max_cut_value,min_cut_value,std_cut,n_rnd,I0_min,I0_max,ratio of mean/best,ratio of max/best,1 annealing_time [ms],Total time [s],mean_range,stall_prop
G1,800,unipolar,random,11624,3189.1,3632,2525,314.32553896310185,4.656917354244709,27.048052,43.32672,27.43547832071576,31.245698554714384,62.26222686767578,1.5851683616638184,4,0.1
G1,800,unipolar,random,11624,6786.9,7234,6317,260.9425011164124,4.656917354244709,27.048052,43.32672,58.38695801789401,62.23331039229181,59.352678298950195,0.9218857288360596,4,0.3
G1,800,unipolar,random,11624,8604.7,8863,8259,200.16773521779731,4.656917354244709,27.048052,43.32672,74.02529249827943,76.24741913282863,64.93162536621094,0.9838697910308838,4,0.5
G1,800,unipolar,random,11624,11448.8,11495,11404,27.450156850391785,4.656917354244709,27.048052,43.32672,98.49277357192017,98.89022711631108,78.69866256713867,1.117760419845581,4,0.7
G1,800,unipolar,random,11624,11443.8,11509,11378,44.97110183217663,4.656917354244709,27.048052,43.32672,98.44975911906401,99.01066758430832,68.6403205871582,1.0316333770751953,4,0.9
