Gset,number of edges,edge value,edge type,best-known value,mean_cut_value,max_cut_value,min_cut_value,std_cut,n_rnd,I0_min,I0_max,ratio of mean/best,ratio of max/best,1 annealing_time [ms],Total time [s],mean_range,stall_prop,l_scale,d_scale,n_scale
G1,800,unipolar,random,11624,9474.0,9812,8301,432.19671447154707,4.656917354244709,0.01448361,1.448361,81.50378527185134,84.41156228492774,57.39946517944336,0.9359362125396729,4,0.1,0.1,0.1,0.1
G1,800,unipolar,random,11624,11548.6,11582,11527,18.18546428087859,4.656917354244709,0.01448361,1.448361,99.3513420509291,99.63867859600826,64.64437713623047,0.9840638637542725,4,0.3,0.1,0.1,0.1
G1,800,unipolar,random,11624,11543.0,11569,11524,15.05545305418162,4.656917354244709,0.01448361,1.448361,99.30316586373021,99.52684101858225,53.11985626220703,0.8896541595458984,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,11498.4,11529,11452,23.3723483344457,4.656917354244709,0.01448361,1.448361,98.91947694425328,99.18272539573297,59.46038665771484,0.9663548469543457,4,0.7,0.1,0.1,0.1
G1,800,unipolar,random,11624,11387.2,11438,11335,33.6577545959983,4.656917354244709,0.01448361,1.448361,97.96283551273228,98.39986235375086,62.77095985412598,0.9853427410125732,4,0.9,0.1,0.1,0.1
G1,800,unipolar,random,11624,9531.4,11498,8659,767.2374976353657,4.656917354244709,0.01448361,1.448361,81.99759119064005,98.91603578802477,64.95174942016601,1.000011682510376,4,0.1,0.1,0.1,0.2
G1,800,unipolar,random,11624,11548.1,11578,11523,17.971891633572934,4.656917354244709,0.01448361,1.448361,99.3470406056435,99.60426703372333,59.80771827697754,0.9554784297943115,4,0.3,0.1,0.1,0.2
G1,800,unipolar,random,11624,11523.4,11557,11492,21.634334850982693,4.656917354244709,0.01448361,1.448361,99.13454920853407,99.42360633172746,60.35351982116699,0.9552552700042725,4,0.5,0.1,0.1,0.2
G1,800,unipolar,random,11624,11509.5,11538,11476,19.38068912890125,4.656917354244709,0.01448361,1.448361,99.01496902959394,99.26015141087406,54.314064025878906,0.8807051181793213,4,0.7,0.1,0.1,0.2
G1,800,unipolar,random,11624,11425.8,11464,11391,22.641162121724722,4.656917354244709,0.01448361,1.448361,98.29490708878183,98.6235375086029,62.28797454833985,0.9576961994171143,4,0.9,0.1,0.1,0.2
G1,800,unipolar,random,11624,9449.5,9769,9106,180.01126507959316,4.656917354244709,0.01448361,1.448361,81.29301445285616,84.04163799036476,63.730459976196286,1.004060983657837,4,0.1,0.1,0.1,0.3
G1,800,unipolar,random,11624,11539.7,11576,11517,19.33362068751968,4.656917354244709,0.01448361,1.448361,99.27477632484515,99.58706125258087,57.50618209838867,0.9252169132232666,4,0.3,0.1,0.1,0.3
G1,800,unipolar,random,11624,11541.9,11564,11514,17.226916922846833,4.656917354244709,0.01448361,1.448361,99.29370268410186,99.48382656572609,61.91082229614258,0.9591140747070312,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11504.1,11540,11482,18.663392570007797,4.656917354244709,0.01448361,1.448361,98.9685134205093,99.27735719201652,57.35606651306152,0.917884349822998,4,0.7,0.1,0.1,0.3
