Gset,number of edges,edge value,edge type,best-known value,mean_cut_value,max_cut_value,min_cut_value,std_cut,n_rnd,I0_min,I0_max,ratio of mean/best,ratio of max/best,1 annealing_time [ms],Total time [s],mean_range,stall_prop,l_scale,d_scale,n_scale
G1,800,unipolar,random,11624,9555.3,10069,8835,368.2064789097431,4.656917354244709,0.01448361,1.448361,82.20320027529249,86.62250516173434,67.52479438781738,0.9991827011108398,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9399.9,9729,8719,334.46622483526727,4.656917354244709,0.01448361,1.448361,80.86631108052306,83.69752236751549,73.00809936523437,1.0491459369659424,4,0.5,0.1,0.1,0.2
G1,800,unipolar,random,11624,9513.2,9753,9245,166.6438651069333,4.656917354244709,0.01448361,1.448361,81.84101858224365,83.90399174122506,61.74586219787598,0.97054123878479,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,9364.8,9885,8900,347.47527489976414,4.656917354244709,0.01448361,1.448361,80.5643496214728,85.03957329662767,63.03348388671875,0.9370336532592773,4,0.5,0.1,0.2,0.1
G1,800,unipolar,random,11624,9672.2,9957,9410,176.9913996655079,4.656917354244709,0.01448361,1.448361,83.20887818306952,85.65898141775637,65.83214225769044,0.9638466835021973,4,0.5,0.1,0.2,0.2
G1,800,unipolar,random,11624,9629.3,10145,9045,342.7979806760179,4.656917354244709,0.01448361,1.448361,82.83981417756365,87.27632484514797,64.99498863220215,0.9933571815490723,4,0.5,0.1,0.2,0.3
G1,800,unipolar,random,11624,9626.1,10026,9074,248.6431847715383,4.656917354244709,0.01448361,1.448361,82.81228492773572,86.25258086717137,71.57940864562988,1.0196642875671387,4,0.5,0.1,0.3,0.1
G1,800,unipolar,random,11624,9048.1,9799,8440,505.8536129927094,4.656917354244709,0.01448361,1.448361,77.83981417756367,84.29972470750172,69.68148880004883,1.0002245903015137,4,0.5,0.1,0.3,0.2
G1,800,unipolar,random,11624,9262.1,10057,8376,567.5360879372439,4.656917354244709,0.01448361,1.448361,79.6808327598073,86.51927047487956,61.539405059814456,0.9263911247253418,4,0.5,0.1,0.3,0.3
G1,800,unipolar,random,11624,9477.0,9791,8793,371.1959650163838,4.656917354244709,0.01448361,1.448361,81.52959394356503,84.23090158293186,61.34934349060059,0.9173836708068848,4,0.5,0.2,0.1,0.1
G1,800,unipolar,random,11624,9397.2,9908,8547,468.77945537083616,4.656917354244709,0.01448361,1.448361,80.84308327598075,85.237439779766,64.29140510559083,0.9513652324676514,4,0.5,0.2,0.1,0.2
G1,800,unipolar,random,11624,9501.5,10036,9032,275.5085197311409,4.656917354244709,0.01448361,1.448361,81.74036476256022,86.33860977288369,62.390242385864255,0.9815773963928223,4,0.5,0.2,0.1,0.3
G1,800,unipolar,random,11624,9388.4,9843,8772,439.90660624980643,4.656917354244709,0.01448361,1.448361,80.76737783895389,84.67825189263593,64.36378555297851,0.9531195163726807,4,0.5,0.2,0.2,0.1
G1,800,unipolar,random,11624,9380.5,9783,8707,395.07980909628316,4.656917354244709,0.01448361,1.448361,80.69941500344116,84.162078458362,61.46414070129394,0.9251325130462646,4,0.5,0.2,0.2,0.2
G1,800,unipolar,random,11624,9509.1,10432,8738,507.9412586335375,4.656917354244709,0.01448361,1.448361,81.80574673090159,89.74535443909153,61.72383346557617,0.9261155128479004,4,0.5,0.2,0.2,0.3
G1,800,unipolar,random,11624,9359.9,9958,8606,475.0970544121602,4.656917354244709,0.01448361,1.448361,80.52219545767377,85.6675843083276,65.60414924621583,0.962897539138794,4,0.5,0.2,0.3,0.1
G1,800,unipolar,random,11624,9425.9,9888,8735,324.2384068003734,4.656917354244709,0.01448361,1.448361,81.08998623537508,85.06538196834136,62.787574005126956,0.930351972579956,4,0.5,0.2,0.3,0.2
G1,800,unipolar,random,11624,9594.4,10325,8547,510.9022955082073,4.656917354244709,0.01448361,1.448361,82.53957329662767,88.82484514796971,66.07942161560058,0.9750747680664062,4,0.5,0.2,0.3,0.3
G1,800,unipolar,random,11624,9560.8,9888,9166,232.06742315303302,4.656917354244709,0.01448361,1.448361,82.25051617343426,85.06538196834136,65.46624908447265,0.9595108032226562,4,0.5,0.3,0.1,0.1
G1,800,unipolar,random,11624,9477.6,9932,8865,309.2712581393737,4.656917354244709,0.01448361,1.448361,81.53475567790778,85.44390915347557,63.79422454833984,0.9450638294219971,4,0.5,0.3,0.1,0.2
G1,800,unipolar,random,11624,9196.1,9760,8347,487.99554870465323,4.656917354244709,0.01448361,1.448361,79.11304198210598,83.96421197522368,61.448150634765625,0.9239583015441895,4,0.5,0.3,0.1,0.3
G1,800,unipolar,random,11624,9392.7,10020,8674,458.0111716250307,4.656917354244709,0.01448361,1.448361,80.8043702684102,86.20096352374398,62.497322463989256,0.9382150173187256,4,0.5,0.3,0.2,0.1
G1,800,unipolar,random,11624,9468.2,10122,8607,482.06126858177134,4.656917354244709,0.01448361,1.448361,81.4538885065382,87.07845836200964,60.17923164367676,0.906160831451416,4,0.5,0.3,0.2,0.2
G1,800,unipolar,random,11624,9458.8,9788,8866,320.8470732988606,4.656917354244709,0.01448361,1.448361,81.3730213351686,84.20509291121817,62.2323558807373,0.9326605796813965,4,0.5,0.3,0.2,0.3
G1,800,unipolar,random,11624,9471.5,9906,8626,356.390313498495,4.656917354244709,0.01448361,1.448361,81.48227804542326,85.22023399862354,62.060614013671874,0.9409148693084717,4,0.5,0.3,0.3,0.1
G1,800,unipolar,random,11624,9605.5,10010,9287,184.43622806331248,4.656917354244709,0.01448361,1.448361,82.63506538196835,86.11493461803165,66.22227783203125,0.979046106338501,4,0.5,0.3,0.3,0.2
G1,800,unipolar,random,11624,9446.6,10146,8697,520.6144233286068,4.656917354244709,0.01448361,1.448361,81.26806607019958,87.28492773571921,70.35134925842286,1.0325071811676025,4,0.5,0.3,0.3,0.3
G1,800,unipolar,random,11624,9219.5,10262,8508,552.5332066441296,4.656917354244709,0.01448361,1.448361,79.31434962147281,88.28286304198211,59.20108528137207,0.891993522644043,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9166.8,9722,8290,480.990367193911,4.656917354244709,0.01448361,1.448361,78.86097728836889,83.63730213351687,59.90748176574707,0.8978924751281738,4,0.5,0.1,0.1,0.2
G1,800,unipolar,random,11624,9371.9,9863,8484,422.2825410130573,4.656917354244709,0.01448361,1.448361,80.62543014452856,84.85030970406056,62.228985977172854,0.9148046970367432,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,9621.2,9808,9145,195.23137270656295,4.656917354244709,0.01448361,1.448361,82.77013076393669,84.37715072264281,61.16380767822265,0.9126603603363037,4,0.5,0.1,0.2,0.1
G1,800,unipolar,random,11624,9500.9,10133,8893,389.57339916032936,4.656917354244709,0.01448361,1.448361,81.73520302821748,87.17309015829319,57.54653129577637,0.8685636520385742,4,0.5,0.1,0.2,0.2
G1,800,unipolar,random,11624,9378.0,10215,8572,535.8075939903966,4.656917354244709,0.01448361,1.448361,80.67790777701308,87.8785271851342,70.75101165771484,1.010847568511963,4,0.5,0.1,0.2,0.3
G1,800,unipolar,random,11624,9091.3,9766,8471,470.54107153361224,4.656917354244709,0.01448361,1.448361,78.21145905024088,84.01582931865107,59.04677391052246,0.8841772079467773,4,0.5,0.1,0.3,0.1
