Gset,number of edges,edge value,edge type,best-known value,mean_cut_value,max_cut_value,min_cut_value,std_cut,n_rnd,I0_min,I0_max,ratio of mean/best,ratio of max/best,1 annealing_time [ms],Total time [s],mean_range,stall_prop
G1,800,unipolar,random,11624,3108.4,3432,2846,191.16787270761674,4.656917354244709,0.01448361,1.448361,26.741225051617345,29.525120440467997,67.68662033081054,1.0416278839111328,4,0.1
G1,800,unipolar,random,11624,6963.3,7370,6618,220.29477726194258,4.656917354244709,0.01448361,1.448361,59.90450791465933,63.40330350997935,68.10767135620117,1.0198872089385986,4,0.3
G1,800,unipolar,random,11624,8600.7,8810,8269,192.10301056117436,4.656917354244709,0.01448361,1.448361,73.99088093599451,75.79146593255334,64.87901382446289,0.9835953712463379,4,0.5
G1,800,unipolar,random,11624,11571.1,11609,11535,21.20508324802229,4.656917354244709,0.01448361,1.448361,99.54490708878183,99.87095664143152,66.33991432189941,0.9960269927978516,4,0.7
G1,800,unipolar,random,11624,11517.2,11542,11489,17.119190011991417,4.656917354244709,0.01448361,1.448361,99.08121128699243,99.29456297315897,64.86841011047363,1.0097637176513672,4,0.9
