Gset,number of edges,edge value,edge type,best-known value,mean_cut_value,max_cut_value,min_cut_value,std_cut,n_rnd,I0_min,I0_max,ratio of mean/best,ratio of max/best,1 annealing_time [ms],Total time [s],mean_range,stall_prop,l_scale,d_scale,n_scale
G1,800,unipolar,random,11624,3063.0,11469,0,4930.566927060439,4.656917354244709,27.048052,43.32672,26.350653819683412,98.66655196145905,99.88450546264649,2.140676259994507,2,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,8169.8,11491,141,5292.115976725294,4.656917354244709,27.048052,43.32672,70.28389538885065,98.85581555402615,99.86249694824218,1.4845530986785889,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,11419.8,11482,11315,45.337744883387295,4.656917354244709,27.048052,43.32672,98.24328974535445,98.77838953888507,89.9473030090332,1.3743321895599365,8,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,11393.7,11502,11347,49.1484146912865,4.656917354244709,27.048052,43.32672,98.01875430144528,98.9504473503097,96.06417694091797,1.493232250213623,16,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,3824.0,9630,0,4936.884825249398,4.656917354244709,27.048052,43.32672,32.89745354439091,82.84583620096352,93.00333786010742,1.493800163269043,2,0.5,0.1,0.1,0.2
G1,800,unipolar,random,11624,7249.7,11477,326,5435.183796340286,4.656917354244709,27.048052,43.32672,62.36837577426015,98.73537508602891,101.89134140014649,1.539261817932129,4,0.5,0.1,0.1,0.2
G1,800,unipolar,random,11624,11422.6,11503,11364,51.83778115964798,4.656917354244709,27.048052,43.32672,98.26737783895389,98.95905024088094,92.79928283691406,1.4399011135101318,8,0.5,0.1,0.1,0.2
G1,800,unipolar,random,11624,11384.8,11407,11361,16.3149556474352,4.656917354244709,27.048052,43.32672,97.94218857536133,98.13317274604267,95.30315475463867,1.4425439834594727,16,0.5,0.1,0.1,0.2
G1,800,unipolar,random,11624,3816.9,9554,0,4786.547177013696,4.656917354244709,27.048052,43.32672,32.83637302133517,82.1920165175499,86.57088241577148,1.3411180973052979,2,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,5970.2,11520,37,5794.931210405636,4.656917354244709,27.048052,43.32672,51.36097728836889,99.10529938059187,92.73074340820312,1.4549517631530762,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11393.7,11427,11361,21.695109535970953,4.656917354244709,27.048052,43.32672,98.01875430144528,98.30523055746731,86.40900497436523,1.4061095714569092,8,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11414.9,11499,11365,43.991034440111896,4.656917354244709,27.048052,43.32672,98.2011355815554,98.92463867859601,96.99778518676757,1.5172982215881348,16,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,3885.8,9622,0,4857.593615498659,4.656917354244709,27.048052,43.32672,33.42911218169305,82.77701307639367,101.03998794555665,1.5773942470550537,2,0.5,0.1,0.2,0.1
G1,800,unipolar,random,11624,8076.9,11483,41,5377.397128516526,4.656917354244709,27.048052,43.32672,69.4846868547832,98.78699242945629,91.94291458129882,1.4305636882781982,4,0.5,0.1,0.2,0.1
G1,800,unipolar,random,11624,11410.2,11487,11354,35.8013035144439,4.656917354244709,27.048052,43.32672,98.16070199587061,98.82140399174122,84.38966827392578,1.431154727935791,8,0.5,0.1,0.2,0.1
G1,800,unipolar,random,11624,11388.1,11463,11326,45.843816982833744,4.656917354244709,27.048052,43.32672,97.9705781142464,98.61493461803165,93.01050567626953,1.5466365814208984,16,0.5,0.1,0.2,0.1
G1,800,unipolar,random,11624,2072.9,9516,0,3944.1598866059057,4.656917354244709,27.048052,43.32672,17.832931865106676,81.86510667584308,95.29486770629883,1.458813190460205,2,0.5,0.1,0.2,0.2
G1,800,unipolar,random,11624,6989.8,11479,0,5718.0581163732695,4.656917354244709,27.048052,43.32672,60.13248451479697,98.75258086717137,92.55532455444336,1.4395413398742676,4,0.5,0.1,0.2,0.2
G1,800,unipolar,random,11624,11425.2,11484,11369,39.12316733371957,4.656917354244709,27.048052,43.32672,98.28974535443909,98.79559532002753,90.79132080078125,1.496802568435669,8,0.5,0.1,0.2,0.2
G1,800,unipolar,random,11624,11398.5,11453,11336,38.91943244989863,4.656917354244709,27.048052,43.32672,98.0600481761872,98.52890571231934,92.95305557250977,1.5206170082092285,16,0.5,0.1,0.2,0.2
G1,800,unipolar,random,11624,2022.0,9666,0,4025.6929010213053,4.656917354244709,27.048052,43.32672,17.39504473503097,83.15554026152788,92.17422027587891,1.4425363540649414,2,0.5,0.1,0.2,0.3
G1,800,unipolar,random,11624,4913.6,11522,47,5631.748893549854,4.656917354244709,27.048052,43.32672,42.27116311080523,99.12250516173434,84.00342864990235,1.4362406730651855,4,0.5,0.1,0.2,0.3
G1,800,unipolar,random,11624,11400.2,11461,11335,36.605403365562786,4.656917354244709,27.048052,43.32672,98.0746730901583,98.59772883688919,88.73938598632813,1.4276018142700195,8,0.5,0.1,0.2,0.3
G1,800,unipolar,random,11624,11389.7,11433,11348,31.559643710142087,4.656917354244709,27.048052,43.32672,97.98434273916035,98.3568479008947,91.44009628295899,1.4528436660766602,16,0.5,0.1,0.2,0.3
G1,800,unipolar,random,11624,1218.9,8433,0,2601.105937865661,4.656917354244709,27.048052,43.32672,10.486063317274606,72.5481761871989,93.10227584838867,1.490262508392334,2,0.5,0.1,0.3,0.1
G1,800,unipolar,random,11624,7045.3,11455,0,5652.27209084001,4.656917354244709,27.048052,43.32672,60.609944941500345,98.54611149346181,93.52878036499024,1.4990200996398926,4,0.5,0.1,0.3,0.1
