Gset,number of edges,edge value,edge type,best-known value,mean_cut_value,max_cut_value,min_cut_value,std_cut,n_rnd,I0_min,I0_max,ratio of mean/best,ratio of max/best,1 annealing_time [ms],Total time [s],mean_range,stall_prop
G1,800,unipolar,random,11624,3694.8,4107,3222,295.4611461578136,4.656917354244709,0.01448361,1.448361,31.78596008258775,35.33207157604955,65.38020477294921,1.0050437450408936,4,0.1
G1,800,unipolar,random,11624,6985.5,7207,6610,195.7159222501384,4.656917354244709,0.01448361,1.448361,60.09549208534067,62.00103234686855,60.58800048828125,0.9408535957336426,4,0.3
G1,800,unipolar,random,11624,8702.3,8866,8461,125.22073843151274,4.656917354244709,0.01448361,1.448361,74.86493461803165,76.27322780454233,70.14397811889648,1.038198709487915,4,0.5
G1,800,unipolar,random,11624,11554.8,11586,11530,17.856215848954236,4.656917354244709,0.01448361,1.448361,99.40467997247075,99.67309015829319,74.57971420288087,1.0895304679870605,4,0.7
G1,800,unipolar,random,11624,11508.8,11542,11476,24.30729200146418,4.656917354244709,0.01448361,1.448361,99.00894700619408,99.29456297315897,60.68896255493164,0.9309613704681396,4,0.9
