Gset,number of edges,edge value,edge type,best-known value,mean_cut_value,max_cut_value,min_cut_value,std_cut,n_rnd,I0_min,I0_max,ratio of mean/best,ratio of max/best,1 annealing_time [ms],Total time [s],mean_range,stall_prop,l_scale,d_scale,n_scale
G1,800,unipolar,random,11624,11467.7,11501,11411,32.04181296022087,4.656917354244709,0.01448361,1.448361,98.65536820371645,98.94184445973848,56.067817306518556,0.9007151126861572,4,0.5,0.0,0.0,0.5
G1,800,unipolar,random,11624,11490.4,11554,11467,25.556908176764175,4.656917354244709,0.01448361,1.448361,98.85065381968342,99.39779766001377,56.53380432128906,0.909722089767456,4,0.5,0.0,0.0,1.0
G1,800,unipolar,random,11624,11471.6,11504,11434,24.994221554413553,4.656917354244709,0.01448361,1.448361,98.68891947694425,98.96765313145217,49.4735107421875,0.8307716846466064,4,0.5,0.0,0.1,0.5
G1,800,unipolar,random,11624,11465.5,11500,11426,24.6317320183178,4.656917354244709,0.01448361,1.448361,98.63644184445974,98.93324156916724,54.84960289001465,0.8708186149597168,4,0.5,0.0,0.1,1.0
G1,800,unipolar,random,11624,11479.0,11521,11451,21.05548226313834,4.656917354244709,0.01448361,1.448361,98.75258086717137,99.11390227116311,48.40846748352051,0.7996714115142822,4,0.5,0.0,0.2,0.5
G1,800,unipolar,random,11624,11463.7,11532,11415,36.59705513350008,4.656917354244709,0.01448361,1.448361,98.62095664143152,99.20853406744666,57.86059799194336,0.9031581878662109,4,0.5,0.0,0.2,1.0
G1,800,unipolar,random,11624,11461.5,11518,11416,31.920909204539342,4.656917354244709,0.01448361,1.448361,98.60203028217481,99.08809359944941,47.94488334655762,0.8014652729034424,4,0.5,0.0,0.3,0.5
G1,800,unipolar,random,11624,11466.3,11521,11434,31.81212207808701,4.656917354244709,0.01448361,1.448361,98.64332415691672,99.11390227116311,57.43930282592773,0.9235577583312988,4,0.5,0.0,0.3,1.0
G1,800,unipolar,random,11624,11466.2,11489,11441,14.979986648859205,4.656917354244709,0.01448361,1.448361,98.6424638678596,98.83860977288369,49.91573066711426,0.8212738037109375,4,0.5,0.25,0.0,0.5
G1,800,unipolar,random,11624,11450.4,11485,11404,28.044409226954468,4.656917354244709,0.01448361,1.448361,98.50653819683414,98.80419821059876,54.9212158203125,0.8822433948516846,4,0.5,0.25,0.0,1.0
G1,800,unipolar,random,11624,11449.6,11483,11406,20.871032557111302,4.656917354244709,0.01448361,1.448361,98.49965588437715,98.78699242945629,49.15994873046875,0.8049829006195068,4,0.5,0.25,0.1,0.5
G1,800,unipolar,random,11624,11460.8,11501,11412,26.194995281117684,4.656917354244709,0.01448361,1.448361,98.59600825877494,98.94184445973848,53.06999969482422,0.8652071952819824,4,0.5,0.25,0.1,1.0
G1,800,unipolar,random,11624,11461.1,11501,11426,27.090178622109114,4.656917354244709,0.01448361,1.448361,98.59858912594632,98.94184445973848,48.86800918579102,0.8878135681152344,4,0.5,0.25,0.2,0.5
G1,800,unipolar,random,11624,11477.0,11523,11439,30.804040139061126,4.656917354244709,0.01448361,1.448361,98.73537508602891,99.13110805230558,51.78139533996582,0.8798260688781738,4,0.5,0.25,0.2,1.0
G1,800,unipolar,random,11624,11462.1,11491,11424,23.03837378520165,4.656917354244709,0.01448361,1.448361,98.60719201651754,98.85581555402615,62.705894470214844,1.0438640117645264,4,0.5,0.25,0.3,0.5
G1,800,unipolar,random,11624,11461.7,11496,11430,19.459644852303388,4.656917354244709,0.01448361,1.448361,98.60375086028905,98.8988300068823,54.15542335510254,0.865973711013794,4,0.5,0.25,0.3,1.0
