config,param,tau,res,l_scale,d_scale,n_scale,mean_range,stall_prop,mean_ratio,max_ratio,cut_average,cut_max,time_average,total_time
2,2,10,10,0.0,0.0,1.0,,,99.18530626290433,99.63867859600826,11529.3,11582.0,46.76422386169433,0.9134814739227295
2,2,10,10,0.0,0.0,1.5,,,99.24208534067446,99.73331039229181,11535.9,11593.0,47.63428153991699,0.7749097347259521
2,2,10,10,0.0,0.0,2.0,,,99.16551961459051,99.45801789401239,11527.0,11561.0,66.35364456176758,0.963773250579834
2,2,10,10,0.0,0.1,1.0,,,99.25757054370268,99.52684101858225,11537.7,11569.0,46.81284866333008,0.74839186668396
2,2,10,10,0.0,0.1,1.5,,,99.25498967653131,99.41500344115623,11537.4,11556.0,47.847708511352536,0.7584714889526367
2,2,10,10,0.0,0.1,2.0,,,99.32983482450103,99.79353062629043,11546.1,11600.0,51.75076179504394,0.8276221752166748
2,2,10,10,0.0,0.2,1.0,,,99.22832071576049,99.61286992429456,11534.3,11579.0,51.83253402709961,0.7997634410858154
2,2,10,10,0.0,0.2,1.5,,,99.26101169993117,99.47522367515485,11538.1,11563.0,55.52092170715332,0.8461017608642578
2,2,10,10,0.0,0.2,2.0,,,99.19562973158982,99.56125258086718,11530.5,11573.0,49.95020523071289,0.7905395030975342
2,2,10,10,0.25,0.0,1.0,,,99.23434273916035,99.44081211286992,11535.0,11559.0,44.81112937927246,0.7391555309295654
2,2,10,10,0.25,0.0,1.5,,,99.25154852030282,99.70750172057811,11537.0,11590.0,59.22097892761231,0.892108678817749
2,2,10,10,0.25,0.0,2.0,,,99.15261527873365,99.57845836200964,11525.5,11575.0,63.895507431030275,0.9515674114227295
2,2,10,10,0.25,0.1,1.0,,,99.24208534067446,99.50963523743978,11535.9,11567.0,52.53371810913086,0.8181149959564209
2,2,10,10,0.25,0.1,1.5,,,99.12594631796284,99.518238128011,11522.4,11568.0,53.27622413635254,0.8513376712799072
2,2,10,10,0.25,0.1,2.0,,,99.20337233310393,99.44941500344116,11531.4,11560.0,51.56411170959473,0.802269697189331
2,2,10,10,0.25,0.2,1.0,,,99.15691672401927,99.5698554714384,11526.0,11574.0,47.01582717895508,0.7610819339752197
2,2,10,10,0.25,0.2,1.5,,,99.19218857536133,99.5698554714384,11530.1,11574.0,53.48336639404297,0.8234755992889404
2,2,10,10,0.25,0.2,2.0,,,99.24036476256022,99.50963523743978,11535.7,11567.0,56.79700469970703,0.8486449718475342
2,2,10,10,0.5,0.0,1.0,,,98.10650378527185,98.58052305574672,11403.9,11459.0,62.75366706848145,0.9348814487457275
2,2,10,10,0.5,0.0,1.5,,,98.17446662078459,98.5203028217481,11411.8,11452.0,59.41328239440918,0.9755854606628418
2,2,10,10,0.5,0.0,2.0,,,98.3602890571232,98.82140399174122,11433.4,11487.0,65.15445251464844,0.9687283039093018
2,2,10,10,0.5,0.1,1.0,,,98.36114934618031,98.61493461803165,11433.5,11463.0,49.7033504486084,0.8117759227752686
2,2,10,10,0.5,0.1,1.5,,,98.23984858912594,98.45147969717826,11419.4,11444.0,43.20580139160156,0.7534425258636475
2,2,10,10,0.5,0.1,2.0,,,98.44631796283551,98.81280110117,11443.4,11486.0,50.833286666870116,0.7971229553222656
2,2,10,10,0.5,0.2,1.0,,,98.26307639366827,98.47728836889195,11422.1,11447.0,51.360255813598634,0.8008742332458496
2,2,10,10,0.5,0.2,1.5,,,98.22780454232623,98.90743289745355,11418.0,11497.0,54.384688186645505,0.8603153228759766
2,2,10,10,0.5,0.2,2.0,,,98.48847212663455,99.01927047487956,11448.3,11510.0,51.9490550994873,0.8366951942443848
3,2,10,10,0.0,0.0,0.5,4,,98.86183757742602,99.28596008258775,11491.7,11541.0,48.455423736572264,0.7687182426452637
3,2,10,10,0.0,0.0,1.0,4,,98.78441156228493,99.1913282863042,11482.7,11530.0,53.116703796386716,0.8325045108795166
3,2,10,10,0.0,0.1,0.5,4,,98.67257398485891,98.99346180316586,11469.7,11507.0,47.62928924560547,0.7823498249053955
3,2,10,10,0.0,0.1,1.0,4,,98.89022711631108,99.13110805230558,11495.0,11523.0,51.4968448638916,0.8004217147827148
3,2,10,10,0.0,0.2,0.5,4,,98.81538196834136,99.09669649002065,11486.3,11519.0,50.157538986206056,0.8088207244873047
3,2,10,10,0.0,0.2,1.0,4,,98.75860289057123,99.05368203716449,11479.7,11514.0,52.9202880859375,0.8259027004241943
