config,param,tau,res,l_scale,d_scale,n_scale,mean_range,stall_prop,graph_file,mean_ratio,max_ratio,cut_average,cut_max,time_average,total_time
2,2,100,10,0.25,0.1,1.0,,,G22.txt,98.75140354816978,99.23646979564339,13192.2,13257.0,100.11880111694336,1.6686253547668457
2,2,100,10,0.25,0.1,1.5,,,G22.txt,98.67579908675799,98.96698854704694,13182.1,13221.0,112.97771072387695,1.8206746578216553
2,2,100,10,0.25,0.1,2.0,,,G22.txt,98.69376450333108,99.06430122015121,13184.5,13234.0,113.94485778808594,1.8077783584594727
2,2,100,10,0.25,0.2,1.0,,,G22.txt,98.63088554532524,98.89961823489782,13176.1,13212.0,103.68017883300782,1.7282757759094238
2,2,100,10,0.25,0.2,1.5,,,G22.txt,98.50961898345685,98.7648776105996,13159.9,13194.0,114.43955459594727,1.8160796165466309
2,2,100,10,0.25,0.2,2.0,,,G22.txt,98.62489707313422,98.89961823489782,13175.3,13212.0,113.08554153442383,1.9342749118804932
2,2,100,10,0.5,0.0,1.0,,,G22.txt,97.23781720188637,97.49232727000523,12990.0,13024.0,108.85454711914062,1.0474941730499268
2,2,100,10,0.5,0.0,1.5,,,G22.txt,97.19664645557302,97.32764428475186,12984.5,13002.0,111.76012802124023,1.807379961013794
2,2,100,10,0.5,0.0,2.0,,,G22.txt,97.13751029268658,97.4474137285725,12976.6,13018.0,109.51150131225586,1.7831079959869385
2,2,100,10,0.5,0.1,1.0,,,G22.txt,97.0401976195823,97.40250018713975,12963.6,13012.0,107.74584426879883,1.772515058517456
2,2,100,10,0.5,0.1,1.5,,,G22.txt,97.10532225465978,97.69443820645257,12972.3,13051.0,109.85550689697266,1.8202605247497559
2,2,100,10,0.5,0.1,2.0,,,G22.txt,97.08286548394341,97.64203907478105,12969.3,13044.0,120.57812194824218,2.010230541229248
2,2,100,10,0.5,0.2,1.0,,,G22.txt,96.90620555430796,97.20787484093121,12945.7,12986.0,115.80563888549804,1.8509764671325684
2,2,100,10,0.5,0.2,1.5,,,G22.txt,97.08511116101505,97.61209671382589,12969.6,13040.0,111.25449600219727,1.8772568702697754
2,2,100,10,0.5,0.2,2.0,,,G22.txt,97.12328767123287,97.3650722359458,12974.7,13007.0,110.44325256347656,1.8235609531402588
2,2,100,10,0.0,0.0,1.0,,,G47.txt,98.68108757698663,99.02358419708577,6569.2,6592.0,72.78393325805663,1.2251687049865723
2,2,100,10,0.0,0.0,1.5,,,G47.txt,98.91692954784438,99.53432477091783,6584.9,6626.0,83.63416786193848,1.3754947185516357
2,2,100,10,0.0,0.0,2.0,,,G47.txt,98.94096439837764,99.2789544840018,6586.5,6609.0,79.20783309936523,1.3270337581634521
2,2,100,10,0.0,0.1,1.0,,,G47.txt,98.81628361123629,99.17380201291873,6578.2,6602.0,78.87769966125488,1.2836849689483643
2,2,100,10,0.0,0.1,1.5,,,G47.txt,98.78924440438637,99.33904161033499,6576.4,6613.0,77.17079315185546,1.2794711589813232
