config,param,tau,res,l_scale,d_scale,n_scale,mean_range,stall_prop,graph_file,mean_ratio,max_ratio,cut_average,cut_max,time_average,total_time
3,2,100,10,0.0,0.5,0.5,4,,G55.txt,95.69764054762598,96.2520633071172,9855.9,9913.0,140.65283660888673,2.517274856567383
3,2,100,10,0.0,0.5,1.0,4,,G55.txt,95.60734051849694,96.057869696087,9846.6,9893.0,154.64456176757812,2.706742525100708
3,2,100,10,0.25,0.0,0.5,4,,G55.txt,96.57442470142733,97.19390232061365,9946.2,10010.0,127.44905242919921,2.6046855449676514
3,2,100,10,0.25,0.0,1.0,4,,G55.txt,96.63753762501214,97.11622487620157,9952.7,10002.0,158.89913787841797,2.9598116874694824
3,2,100,10,0.25,0.1,0.5,4,,G55.txt,96.56374405282067,96.89290222351684,9945.1,9979.0,134.5460998535156,2.4355504512786865
3,2,100,10,0.25,0.1,1.0,4,,G55.txt,96.48897951257403,96.69870861248666,9937.4,9959.0,162.481787109375,2.704134464263916
3,2,100,10,0.25,0.2,0.5,4,,G55.txt,96.3015826779299,96.54335372366249,9918.1,9943.0,136.1699531555176,2.5265979766845703
3,2,100,10,0.25,0.2,1.0,4,,G55.txt,96.44916982231284,96.95116030682591,9933.3,9985.0,180.72677764892578,2.9237987995147705
3,2,100,10,0.25,0.3,0.5,4,,G55.txt,96.32682784736383,96.53364404311098,9920.7,9942.0,130.29637451171874,2.511918544769287
3,2,100,10,0.25,0.3,1.0,4,,G55.txt,96.2656568598893,96.92203126517137,9914.4,9982.0,155.2288619995117,2.626913070678711
3,2,100,10,0.25,0.4,0.5,4,,G55.txt,95.97048257112341,96.28119234877173,9884.0,9916.0,129.3286277770996,2.5709664821624756
3,2,100,10,0.25,0.4,1.0,4,,G55.txt,95.97727934750948,96.33945043208078,9884.7,9922.0,169.4019012451172,2.8706533908843994
3,2,100,10,0.25,0.5,0.5,4,,G55.txt,95.61510826293815,95.9510632100204,9847.4,9882.0,125.06709289550781,2.519674777984619
3,2,100,10,0.25,0.5,1.0,4,,G55.txt,95.53354694630546,95.78599864064472,9839.0,9865.0,160.60901947021483,2.8961641788482666
3,2,100,10,0.5,0.0,0.5,4,,G55.txt,94.24021749684434,94.49461112729391,9705.8,9732.0,133.90147552490234,2.469792366027832
3,2,100,10,0.5,0.0,1.0,4,,G55.txt,94.35187882318671,94.89270802990582,9717.3,9773.0,156.71476135253906,2.7243762016296387
3,2,100,10,0.5,0.1,0.5,4,,G55.txt,94.25186911350616,94.56257889115449,9707.0,9739.0,129.68515548706054,2.4289262294769287
3,2,100,10,0.5,0.1,1.0,4,,G55.txt,94.36061753568309,95.15486940479659,9718.2,9800.0,159.30918731689454,2.7974722385406494
3,2,100,10,0.5,0.2,0.5,4,,G55.txt,93.92076900669969,94.62083697446354,9672.9,9745.0,139.94864044189453,2.5504212379455566
3,2,100,10,0.5,0.2,1.0,4,,G55.txt,94.25769492183707,94.54315953005145,9707.6,9737.0,174.54468536376953,2.921640157699585
3,2,100,10,0.5,0.3,0.5,4,,G55.txt,93.80231090397128,94.40722400233032,9660.7,9723.0,130.82111206054688,2.397934913635254
3,2,100,10,0.5,0.3,1.0,4,,G55.txt,93.96252063307118,94.49461112729391,9677.2,9732.0,162.76863708496094,2.779226779937744
3,2,100,10,0.5,0.4,0.5,4,,G55.txt,93.63918827070589,94.11593358578503,9643.9,9693.0,131.10083694458007,2.5914828777313232
3,2,100,10,0.5,0.4,1.0,4,,G55.txt,93.6945334498495,94.09651422468201,9649.6,9691.0,160.8596160888672,2.985478639602661
3,2,100,10,0.5,0.5,0.5,4,,G55.txt,93.24012040003883,93.80522380813672,9602.8,9661.0,135.7721923828125,2.4594500064849854
3,2,100,10,0.5,0.5,1.0,4,,G55.txt,93.53723662491504,93.96057869696087,9633.4,9677.0,166.40306701660157,2.76058030128479
3,2,100,10,0.0,0.0,0.5,4,,G60.txt,96.78108260501833,97.08204116154496,13731.3,13774.0,175.30313262939453,4.266995429992676
3,2,100,10,0.0,0.0,1.0,4,,G60.txt,96.69720890893713,97.01155906399775,13719.4,13764.0,226.38424835205078,4.4019691944122314
3,2,100,10,0.0,0.1,0.5,4,,G60.txt,96.67113053284466,96.92698054694108,13715.7,13752.0,188.19078979492187,3.92261004447937
3,2,100,10,0.0,0.1,1.0,4,,G60.txt,96.62602199041443,96.9622215957147,13709.3,13757.0,222.42672271728514,4.367693901062012
3,2,100,10,0.0,0.2,0.5,4,,G60.txt,96.53650972652946,96.75782351282774,13696.6,13728.0,196.33375091552733,4.162794351577759
3,2,100,10,0.0,0.2,1.0,4,,G60.txt,96.59994361432196,96.98336622497885,13705.6,13760.0,231.81063995361328,4.599599123001099
3,2,100,10,0.0,0.3,0.5,4,,G60.txt,96.33563574851988,96.59571468846913,13668.1,13705.0,181.68062286376954,3.931684732437134
3,2,100,10,0.0,0.3,1.0,4,,G60.txt,96.38920214265576,96.77191993233718,13675.7,13730.0,226.52401428222657,4.339458465576172
3,2,100,10,0.0,0.4,0.5,4,,G60.txt,96.10234000563857,96.36312376656329,13635.0,13672.0,183.22769622802736,4.05617880821228
3,2,100,10,0.0,0.4,1.0,4,,G60.txt,96.12630391880462,96.40541302509163,13638.4,13678.0,241.29932556152343,4.671201944351196
3,2,100,10,0.0,0.5,0.5,4,,G60.txt,95.73653791936849,96.03185790809134,13583.1,13625.0,185.59821472167968,4.077890872955322
3,2,100,10,0.0,0.5,1.0,4,,G60.txt,95.56667606427968,95.92613476177051,13559.0,13610.0,228.6114028930664,4.662217140197754
3,2,100,10,0.25,0.0,0.5,4,,G60.txt,96.63166055821821,96.77191993233718,13710.1,13730.0,180.05636901855468,3.907341957092285
3,2,100,10,0.25,0.0,1.0,4,,G60.txt,96.47941922751622,96.82125740062024,13688.5,13737.0,229.49759521484376,4.738911390304565
