Algorithm,Mean Energy,Std Energy,Min Energy,Max Energy,Mean Cut,Std Cut,Min Cut,Max Cut,Mean Time (ms),Mean Accuracy (%),Max Accuracy (%)
Probit,-10360.2,57.0701322935211,-10508.0,-10208.0,13754.1,28.53506614676055,13678.0,13828.0,15751.474567002733,96.941781787426,97.46264448829997
Traditional SA,-1234.82,119.0818525217004,-1520.0,-946.0,9191.41,59.54092626085019,9047.0,9334.0,317.98866400204133,64.7829856216521,65.78798985057796
