config,param,tau,res,l_scale,d_scale,n_scale,mean_range,stall_prop,mean_ratio,max_ratio,cut_average,cut_max,time_average,total_time
3,2,4,1,0.1,0.2,0.3,4.0,,99.57845836200964,99.79353062629043,11575.0,11600.0,60.69370269775391,0.9026250839233398
3,2,1,1,0.1,0.1,0.1,4.0,,99.57759807295253,100.0,11574.9,11624.0,69.00449295043946,0.992504358291626
3,2,8,1,0.1,0.1,0.1,4.0,,99.57673778389538,99.79353062629043,11574.8,11600.0,66.03968353271485,0.958277940750122
4,2,8,2,0.1,0.1,0.1,,0.5,99.57673778389538,99.7333103922918,11574.8,11593.0,77.55835800170898,1.1014747619628906
3,2,1,2,0.1,0.1,0.3,4.0,,99.57587749483828,99.87095664143152,11574.7,11609.0,83.22526512145996,1.1319727897644043
3,2,8,1,0.1,0.2,0.1,4.0,,99.5698554714384,99.8107364074329,11574.0,11602.0,66.48706588745117,0.9655866622924804
3,2,2,1,0.2,0.1,0.3,4.0,,99.5698554714384,99.99139710942876,11574.0,11623.0,63.05101776123047,0.984917402267456
3,2,1,1,0.2,0.1,0.2,4.0,,99.56899518238129,99.97419132828632,11573.9,11621.0,68.59269828796387,1.0300405025482178
4,2,4,2,0.1,0.3,0.3,,0.5,99.56813489332416,99.88816242257398,11573.8,11611.0,61.42023048400879,0.9422016143798828
4,2,1,2,0.1,0.2,0.2,,0.5,99.56641431520993,99.8623537508603,11573.6,11608.0,69.83923225402832,1.0235674381256104
3,2,8,1,0.1,0.3,0.2,4.0,,99.56641431520993,99.88816242257398,11573.6,11611.0,62.51496696472168,0.9265449047088624
3,2,2,1,0.1,0.2,0.2,4.0,,99.56383344803854,99.84514796971784,11573.3,11606.0,63.70688247680664,0.9324402809143066
3,2,1,1,0.1,0.2,0.1,4.0,,99.56125258086718,99.89676531314522,11573.0,11612.0,62.18912010192871,0.9371683597564696
3,2,4,1,0.2,0.3,0.1,4.0,,99.56039229181005,99.8107364074329,11572.9,11602.0,61.12539215087891,0.9073610305786132
4,2,8,2,0.1,0.3,0.3,,0.5,99.56039229181005,99.81933929800412,11572.9,11603.0,56.53066558837891,0.876523494720459
3,2,1,1,0.2,0.2,0.1,4.0,,99.56039229181005,100.0,11572.9,11624.0,66.12910041809081,0.9870107173919678
4,2,4,2,0.1,0.1,0.2,,0.5,99.55781142463869,99.8107364074329,11572.6,11602.0,63.82976036071777,0.9951777458190918
3,2,8,1,0.1,0.3,0.1,4.0,,99.55609084652444,99.76772195457674,11572.4,11597.0,77.84148139953614,1.0813782215118408
3,2,1,1,0.1,0.3,0.1,4.0,,99.55523055746733,99.70750172057812,11572.3,11590.0,63.18430595397949,0.9338669776916504
3,2,8,2,0.1,0.2,0.2,4.0,,99.55437026841018,99.7591190640055,11572.2,11596.0,66.35765686035157,0.9636845588684082
4,2,2,1,0.1,0.2,0.1,,0.7,99.55178940123882,99.75051617343428,11571.9,11595.0,60.45547180175781,0.9316530227661132
3,2,1,1,0.3,0.1,0.1,4.0,,99.55178940123882,99.95698554714384,11571.9,11619.0,63.01751747131348,0.9432127475738524
3,2,2,1,0.2,0.1,0.1,4.0,,99.55092911218168,99.8365450791466,11571.8,11605.0,66.70546836853028,0.9751534461975098
4,2,2,2,0.1,0.3,0.2,,0.5,99.55092911218168,99.69029593943566,11571.8,11588.0,58.9700740814209,0.9188346862792968
3,2,4,2,0.1,0.2,0.2,4.0,,99.55092911218168,99.9483826565726,11571.8,11618.0,66.94850234985351,0.9690108299255372
3,2,4,1,0.1,0.2,0.2,4.0,,99.54920853406745,99.98279421885752,11571.6,11622.0,62.29923858642578,0.923097848892212
3,2,2,1,0.2,0.3,0.1,4.0,,99.54920853406745,99.8107364074329,11571.6,11602.0,64.61950378417968,0.9470033645629884
4,2,1,2,0.1,0.1,0.1,,0.5,99.54662766689609,99.81933929800412,11571.3,11603.0,59.10910720825196,0.9594793319702148
3,2,1,1,0.2,0.1,0.2,8.0,,99.54662766689609,99.92257398485891,11571.3,11615.0,63.13450813293457,0.921565055847168
3,2,4,1,0.2,0.2,0.3,4.0,,99.54662766689609,99.95698554714384,11571.3,11619.0,59.01034202575684,0.8947432041168213
3,2,1,1,0.1,0.1,0.2,4.0,,99.54576737783896,99.84514796971784,11571.2,11606.0,59.94332160949707,0.9042923450469972
3,2,4,1,0.1,0.1,0.1,4.0,,99.54490708878184,99.99139710942876,11571.1,11623.0,57.671661376953125,0.8714735507965088
3,2,1,1,0.2,0.2,0.3,4.0,,99.54490708878184,99.93117687543014,11571.1,11616.0,66.19143333435059,0.9670953750610352
3,2,1,2,0.1,0.2,0.3,4.0,,99.54060564349622,99.85375086028904,11570.6,11607.0,64.69425010681152,0.970473289489746
3,2,8,1,0.2,0.3,0.1,4.0,,99.54060564349622,99.69029593943566,11570.6,11588.0,83.96572570800781,1.1503565311431885
3,2,8,1,0.2,0.1,0.2,4.0,,99.54060564349622,99.87955953200276,11570.6,11610.0,67.4946044921875,0.975778341293335
3,2,2,1,0.1,0.3,0.3,4.0,,99.53974535443908,99.77632484514795,11570.5,11598.0,79.52544975280762,1.166351079940796
4,2,2,2,0.3,0.3,0.1,,0.3,99.53974535443908,99.97419132828632,11570.5,11621.0,58.65091209411621,0.9255189895629884
3,2,2,2,0.1,0.2,0.1,4.0,,99.53974535443908,99.9483826565726,11570.5,11618.0,60.17889633178711,0.918809413909912
4,2,2,2,0.2,0.2,0.3,,0.5,99.53458362009636,99.7849277357192,11569.9,11599.0,57.04084510803223,0.9113726615905762
3,2,2,1,0.2,0.2,0.3,4.0,,99.53372333103924,99.69029593943566,11569.8,11588.0,60.37267227172852,0.9133005142211914
4,2,8,2,0.1,0.3,0.1,,0.3,99.53372333103924,99.93117687543014,11569.8,11616.0,61.41148147583008,0.9386897087097168
3,2,4,1,0.1,0.3,0.2,4.0,,99.53372333103924,99.79353062629043,11569.8,11600.0,61.34491500854492,0.916346788406372
3,2,2,2,0.1,0.1,0.3,4.0,,99.53286304198213,99.76772195457674,11569.7,11597.0,70.35713500976563,0.9892458915710448
3,2,8,1,0.1,0.2,0.3,8.0,,99.53286304198213,99.81933929800412,11569.7,11603.0,60.88222427368164,0.9008643627166748
3,2,8,1,0.2,0.1,0.3,4.0,,99.53286304198213,99.7591190640055,11569.7,11596.0,71.0427360534668,1.0129694938659668
3,2,4,2,0.2,0.1,0.1,4.0,,99.53200275292498,99.76772195457674,11569.6,11597.0,62.11735649108887,0.9220335483551024
3,2,8,1,0.2,0.3,0.2,4.0,,99.53200275292498,99.93117687543014,11569.6,11616.0,68.76882858276367,1.0005013942718506
4,2,1,2,0.1,0.2,0.2,,0.3,99.53114246386788,99.81933929800412,11569.5,11603.0,77.9279670715332,1.1924493312835691
3,2,4,1,0.2,0.1,0.3,4.0,,99.53028217481074,99.8623537508603,11569.4,11608.0,68.34840278625488,0.999180555343628
3,2,4,1,0.1,0.2,0.1,8.0,,99.53028217481074,99.7849277357192,11569.4,11599.0,67.31998100280762,0.9846630096435548
3,2,2,1,0.1,0.2,0.1,4.0,,99.5294218857536,99.85375086028904,11569.3,11607.0,62.36282196044922,0.9228434562683104
3,2,2,1,0.1,0.1,0.1,4.0,,99.5294218857536,99.8107364074329,11569.3,11602.0,59.72135009765625,0.8930511474609375
3,2,1,1,0.2,0.2,0.2,4.0,,99.5294218857536,99.71610461114936,11569.3,11591.0,64.96365814208984,0.9752600193023682
4,2,1,2,0.2,0.2,0.3,,0.5,99.52856159669648,99.8107364074329,11569.2,11602.0,60.10407028198242,0.9292950630187988
3,2,1,1,0.1,0.3,0.3,4.0,,99.52770130763936,99.7333103922918,11569.1,11593.0,67.79800148010254,0.9924898147583008
4,2,2,2,0.3,0.3,0.1,,0.5,99.52770130763936,99.85375086028904,11569.1,11607.0,58.27612152099609,0.9008007049560548
3,2,4,1,0.1,0.3,0.3,4.0,,99.52684101858225,99.7849277357192,11569.0,11599.0,81.10132522583008,1.109882354736328
4,2,4,1,0.2,0.1,0.3,,0.7,99.52684101858225,99.7591190640055,11569.0,11596.0,59.46721839904785,0.916051149368286
3,2,2,1,0.1,0.3,0.2,4.0,,99.52598072952512,99.82794218857536,11568.9,11604.0,61.18184967041016,0.9168868064880372
3,2,2,2,0.1,0.3,0.3,4.0,,99.52598072952512,99.69889883000688,11568.9,11589.0,61.58292198181152,0.9141740798950196
4,2,4,2,0.1,0.3,0.2,,0.5,99.52598072952512,99.8623537508603,11568.9,11608.0,67.79277076721192,1.0189435482025146
4,2,2,2,0.2,0.1,0.2,,0.5,99.52426015141089,99.84514796971784,11568.7,11606.0,60.36356468200684,0.9252073764801024
3,2,2,1,0.2,0.1,0.2,4.0,,99.52339986235376,99.63007570543702,11568.6,11581.0,67.34118118286133,0.9787888526916504
4,2,8,2,0.1,0.2,0.1,,0.3,99.52167928423953,99.85375086028904,11568.4,11607.0,64.86645469665527,0.988800287246704
3,2,4,1,0.1,0.3,0.2,8.0,,99.52167928423953,99.81933929800412,11568.4,11603.0,86.76995506286622,1.1683833599090576
3,2,2,1,0.2,0.3,0.3,4.0,,99.51995870612524,99.75051617343428,11568.2,11595.0,62.29173126220703,0.9264342784881592
3,2,2,1,0.3,0.2,0.1,4.0,,99.51909841706814,99.8107364074329,11568.1,11602.0,70.10094337463379,1.0037016868591309
4,2,1,2,0.2,0.1,0.2,,0.5,99.51909841706814,99.91397109428767,11568.1,11614.0,60.90822334289551,0.9346561431884766
3,2,1,1,0.1,0.3,0.2,4.0,,99.51909841706814,99.87095664143152,11568.1,11609.0,61.114448928833006,0.9063005447387696
4,2,2,2,0.2,0.2,0.1,,0.5,99.518238128011,99.90536820371644,11568.0,11613.0,58.47189445495606,0.9289608001708984
3,2,2,1,0.1,0.1,0.2,4.0,,99.51737783895388,99.90536820371644,11567.9,11613.0,63.638275146484375,0.9253993034362792
3,2,4,1,0.2,0.3,0.3,4.0,,99.51737783895388,99.80213351686166,11567.9,11601.0,63.07217597961426,0.9387633800506592
4,2,1,2,0.1,0.2,0.1,,0.3,99.51651754989676,99.74191328286304,11567.8,11594.0,63.18854675292969,0.952129602432251
3,2,2,2,0.2,0.3,0.1,4.0,,99.51651754989676,99.93117687543014,11567.8,11616.0,60.372454452514646,0.8997268676757812
3,2,4,1,0.2,0.1,0.2,4.0,,99.51651754989676,99.85375086028904,11567.8,11607.0,59.98620491027832,0.8938930034637451
4,2,8,2,0.3,0.2,0.1,,0.3,99.51565726083965,99.72470750172056,11567.7,11592.0,59.61182632446289,0.9226138591766356
