Algorithm,Mean Energy,Std Energy,Min Energy,Max Energy,Mean Cut,Std Cut,Min Cut,Max Cut,Mean Time (ms),Mean Accuracy (%),Max Accuracy (%)
Probit,-4158.56,122.96148340029083,-4500.0,-3832.0,5079.28,61.480741700145416,4916.0,5250.0,442.05539099813905,84.65466666666667,87.5
Traditional SA,-123.56,74.59521700484557,-324.0,40.0,3061.78,37.297608502422776,2980.0,3162.0,46.2260149983922,51.029666666666664,52.7
