Algorithm,Mean Energy,Std Energy,Min Energy,Max Energy,Mean Cut,Std Cut,Min Cut,Max Cut,Mean Time (ms),Mean Accuracy (%),Max Accuracy (%)
Probit,-5006.56,87.45745479946234,-5228.0,-4804.0,5503.28,43.72872739973118,5402.0,5614.0,1288.132881000638,91.72133333333333,93.56666666666666
Traditional SA,-939.6,73.22840978745886,-1172.0,-752.0,3469.8,36.614204893729436,3376.0,3586.0,20.08197098504752,57.83,59.766666666666666
