Algorithm,Mean Energy,Std Energy,Min Energy,Max Energy,Mean Cut,Std Cut,Min Cut,Max Cut,Mean Time (ms),Mean Accuracy (%),Max Accuracy (%)
Probit,-3588.46,61.708252284439226,-3714.0,-3458.0,11382.23,30.85412614221962,11317,11445,45.48239499563351,97.92007914659325,98.46008258774948
Traditional SA,-3612.5,63.45541742042204,-3752.0,-3460.0,11394.25,31.72770871021102,11318,11464,35.12334699975327,98.02348589125947,98.6235375086029
