Algorithm,Mean Energy,Std Energy,Min Energy,Max Energy,Mean Cut,Std Cut,Min Cut,Max Cut,Mean Time (ms),Mean Accuracy (%),Max Accuracy (%)
Probit,-3580.38,65.78917540142906,-3732.0,-3412.0,11378.19,32.89458770071453,11294,11454,45.26388900121674,97.88532346868548,98.53750860289057
Traditional SA,-3607.84,65.96161307912354,-3742.0,-3444.0,11391.92,32.98080653956177,11310,11459,35.065496996976435,98.00344115622849,98.58052305574672
