timestep,masked_mean_energy,masked_ci95,nomask_mean_energy,nomask_ci95
0,-26.0,43.466776954940826,-26.0,43.466776954940826
1,-287.26666666666665,65.81712198525136,5279.266666666666,1727.375246910021
2,-531.2666666666667,68.04774983220277,14474.733333333334,2431.2091300777774
3,-713.0666666666667,80.4937387083557,18189.8,1309.1065084723587
4,-865.4,67.37781337072828,18542.6,1241.464
5,-1025.0666666666666,61.23603029044094,18551.666666666668,1223.6933333333332
6,-1108.7333333333333,63.55378938381365,18879.933333333334,580.2906666666663
7,-1235.4666666666667,65.1209295800051,19176.0,0.0
8,-1343.2,60.58791292226413,19176.0,0.0
9,-1445.7333333333333,69.2422125965948,19176.0,0.0
10,-1510.0,81.44921818525029,19176.0,0.0
11,-1616.4666666666667,73.26074491626345,19176.0,0.0
12,-1678.4666666666667,77.04964193451872,19176.0,0.0
13,-1743.7333333333333,78.49832883634924,19176.0,0.0
14,-1769.6,97.97375501445367,19176.0,0.0
15,-1811.6666666666667,90.02709678085411,19176.0,0.0
16,-1841.7333333333333,87.11555516633464,19176.0,0.0
17,-1862.0666666666666,79.14274233385274,19176.0,0.0
18,-1919.2666666666667,89.20728695421582,19176.0,0.0
19,-1920.4666666666667,90.67428130431274,19176.0,0.0
20,-1965.6,79.27473213067833,19176.0,0.0
21,-2010.6666666666667,87.00470297941601,19176.0,0.0
22,-2071.8,79.02434228549563,19176.0,0.0
23,-2083.5333333333333,84.71059947484123,19176.0,0.0
24,-2121.4666666666667,79.5273282252795,19176.0,0.0
25,-2125.0666666666666,75.81262464686698,19176.0,0.0
26,-2139.4666666666667,83.12281432367485,19176.0,0.0
27,-2171.2,73.94679263660716,19176.0,0.0
28,-2202.5333333333333,72.99633305186745,19176.0,0.0
29,-2227.9333333333334,65.01630123255002,19176.0,0.0
30,-2245.3333333333335,69.76459125810143,19176.0,0.0
31,-2245.3333333333335,80.06021157858417,19176.0,0.0
32,-2290.266666666667,78.77213260511033,19176.0,0.0
33,-2317.733333333333,75.27956512103574,19176.0,0.0
34,-2342.266666666667,89.21723560988501,19176.0,0.0
35,-2376.866666666667,98.68512505937596,19176.0,0.0
36,-2355.266666666667,86.64915140285707,19176.0,0.0
37,-2361.0666666666666,100.25587829463343,19176.0,0.0
38,-2386.5333333333333,91.49091724498942,19176.0,0.0
