Algorithm,Mean Energy,Std Energy,Min Energy,Max Energy,Mean Cut,Std Cut,Min Cut,Max Cut,Mean Time (ms),Mean Accuracy (%),Max Accuracy (%)
Probit,19176.0,0.0,19176.0,19176.0,0.0,0.0,0,0,1178.504299915706,0.0,0.0
Traditional SA,-2413.3333333333335,61.759389749431804,-2458.0,-2326.0,10794.666666666666,30.879694874715902,10751,10817,4.5828000487138825,92.8653360862583,93.05746730901583
