Algorithm,Mean Energy,Std Energy,Min Energy,Max Energy,Mean Cut,Std Cut,Min Cut,Max Cut,Mean Time (ms),Mean Accuracy (%),Max Accuracy (%)
Probit,-7830.86,39.41599167850531,-7924.0,-7744.0,10164.43,19.707995839252654,10121,10211,41650.80115100602,98.69336828818332,99.14554811146714
Traditional SA,-1377.58,98.13349886761401,-1572.0,-1058.0,6937.79,49.066749433807004,6778,7035,46.35097499238327,67.36372463345955,68.30760267987183
