Algorithm,Mean Energy,Std Energy,Min Energy,Max Energy,Mean Cut,Std Cut,Min Cut,Max Cut,Mean Time (ms),Mean Accuracy (%),Max Accuracy (%)
Probit,5615.96,691.4458463249309,3480.0,7410.0,6780.02,345.72292316246546,5883,7848,696.3097889814526,58.32777013076394,67.51548520302822
Traditional SA,-2311.98,92.60388544764199,-2530.0,-2098.0,10743.99,46.301942723821,10637,10853,4.432243006303906,92.42937026841018,93.36717136958018
