Algorithm,Mean Energy,Std Energy,Min Energy,Max Energy,Mean Cut,Std Cut,Min Cut,Max Cut,Mean Time (ms),Mean Accuracy (%),Max Accuracy (%)
Probit,-7537.82,40.66555790838237,-7638.0,-7452.0,10017.91,20.332778954191184,9975,10068,4902.892260001972,97.2707058937761,97.75706379260123
Traditional SA,-146.16,98.8116106538093,-404.0,70.0,6322.08,49.40580532690465,6214,6451,41.26786099979654,61.38537722108943,62.63714923779008
